Product,ProductName
"CEHVTP_PLT_CCS","Citrix StorageLink Platinum|Concurrent System"
"CEHVTP_ENT_CCS","Citrix StorageLink Enterprise|Concurrent System"
"CEHV_PLT_CCS","Citrix StorageLink Platinum|Concurrent System"
"CEHV_ENT_CCS","Citrix StorageLink Enterprise|Concurrent"
"CCGW_STD_CCU","Citrix EasyCall Unlimited License|Concurrent User"
"CCG_STD_CCU","Citrix EasyCall|Concurrent User"
"CBRWS_300_SSERVER","Citrix Branch Repeater with Windows Server 300|Server"
"CBRWS_200_SSERVER","Citrix Branch Repeater with Windows Server 200|Server"
"CBRWS_100_SSERVER","Citrix Branch Repeater with Windows Server 100|Server"
"CBRW2K8_300_SSERVER","Citrix Branch Repeater with Windows Server 2008 300|Server"
"CBRW2K8_200_SSERVER","Citrix Branch Repeater with Windows Server 2008 200|Server"
"CBRW2K8_100_SSERVER","Citrix Branch Repeater with Windows Server 2008 100|Server"
"CBR_V45_SSERVER","Citrix Branch Repeater VPX 45 Mbps|Server"
"CBR_V10_SSERVER","Citrix Branch Repeater VPX 10 Mbps|Server"
"CBR_V2_SSERVER","Citrix Branch Repeater VPX 2 Mbps|Server"
"CBR_V1_SSERVER","Citrix Branch Repeater VPX 1 Mbps|Server"
"CBR_VEXP_SSERVER","Citrix Branch Repeater VPX Express|Server"
"CBR_300_SSERVER","Citrix Branch Repeater 300|Server"
"CBR_200_SSERVER","Citrix Branch Repeater 200|Server"
"CBR_100_SSERVER","Citrix Branch Repeater 100|Server"
"CASTP_ENT_CCU","Citrix Application Streaming for Desktops|Concurrent User"
"CAS_ENT_CCU","Citrix Application Streaming for Desktops|Concurrent User"
"CAG_SSLVPN_CCU","Citrix Access Gateway - Standard Edition|Concurrent User"
"CAG_ICA_CCU","Citrix Access Gateway - Basic Connection|Concurrent User"
"CAG_EXPRESS_SERVER","Citrix Access Gateway VPX - Express Edition|Server"
"CAG_BASE_SERVER","Citrix Access Gateway - Basic Connection|Server"
"CAG_AAC_CCU","Citrix Access Gateway - Advanced Edition|Concurrent User"
